rank,layer,total_time_ms,calls,avg_time_ms
1,/model.5/conv/Conv,15.02400005236268,110,0.13658181865784255
2,/model.23/cv2.2/cv2.2.0/conv/Conv,8.969279976561666,110,0.08153890887783333
3,/model.7/conv/Conv,8.241215948015451,110,0.07492014498195865
4,/model.3/conv/Conv,7.9214081056416035,110,0.07201280096037821
5,/model.20/conv/Conv,7.249823907390237,110,0.06590749006718397
6,/model.19/cv1/conv/Conv,7.0451520420610905,110,0.06404683674600992
7,/model.23/cv2.0/cv2.0.0/conv/Conv,6.926143979653716,110,0.06296494526957924
8,/model.23/cv2.0/cv2.0.1/conv/Conv,6.796191956847906,110,0.061783563244071873
9,/model.17/conv/Conv,4.946592131629586,110,0.044969019378450784
10,__myl_MoveNegExpAddDivMul_myl119_0,4.92793604452163,110,0.04479941858656027
11,/model.23/cv2.1/cv2.1.0/conv/Conv,4.566048072651029,110,0.04150952793319117
12,/model.1/conv/Conv,4.5652800761163235,110,0.04150254614651203
13,/model.16/cv1/conv/Conv,4.470208048820496,110,0.040638254989277235
14,/model.8/m.0/m/m.0/cv1/conv/Conv,4.283648000098765,110,0.03894225454635241
15,/model.19/m.0/cv1/conv/Conv,4.2504639914259315,110,0.03864058174023574
16,/model.10/m/m.0/ffn/ffn.0/conv/Conv,3.74636800121516,110,0.03405789092013782
17,/model.22/m.0/m/m.1/cv1/conv/Conv,3.6781120197847486,110,0.03343738199804317
18,/model.6/m.0/cv3/conv/Conv,3.5651519554667175,110,0.03241047232242471
19,__myl_MoveNegExpAddDivMul_myl205_0,3.5648960606195033,110,0.03240814600563185
20,/model.13/cv1/conv/Conv,3.526336008682847,110,0.032057600078934975
21,/model.0/conv/Conv,3.3850559629499912,110,0.030773236026818102
22,/model.19/cv2/conv/Conv,3.283328049816191,110,0.02984843681651083
23,/model.4/cv2/conv/Conv,3.2169599682092667,110,0.029245090620084242
24,/model.13/cv2/conv/Conv,3.216479984112084,110,0.029240727128291674
25,/model.23/dfl/Softmax,3.215168026275933,110,0.029228800238872116
26,/model.8/cv1/conv/Conv,3.062399987131357,110,0.027839999883012338
27,/model.2/cv2/conv/Conv,3.055872021242976,110,0.02778065473857251
28,Reformatting CopyNode for Input Tensor 0 to /model.0/conv/Conv,2.9856320144608617,110,0.02714210922237147
29,__myl_Mul_myl312_0,2.8408000122290105,110,0.025825454656627368
30,/model.2/m.0/cv1/conv/Conv,2.821151999756694,110,0.02564683636142449
31,/model.22/m.0/cv2/conv/Conv || /model.22/m.0/cv1/conv/Conv,2.8009279905818403,110,0.025462981732562184
32,/model.16/m.0/cv2/conv/Conv,2.7873600013554096,110,0.02533963637595827
33,/model.23/cv2.1/cv2.1.1/conv/Conv,2.777375982142985,110,0.025248872564936225
34,/model.2/m.0/cv2/conv/Conv,2.7720960257574916,110,0.025200872961431742
35,/model.13/m.0/cv1/conv/Conv,2.7453759890049696,110,0.024957963536408813
36,/model.16/cv2/conv/Conv,2.7434879755601287,110,0.02494079977781935
37,/model.23/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,2.6925760079175234,110,0.02447796370834112
38,/model.6/m.0/cv2/conv/Conv || /model.6/m.0/cv1/conv/Conv,2.66409601084888,110,0.024219054644080727
39,/model.9/cv2/conv/Conv,2.6490239650011063,110,0.024082036045464602
40,/model.8/Split_output_1 copy,2.5817600046284497,110,0.02347054549662227
41,/model.10/cv2/conv/Conv,2.5372799783945084,110,0.023066181621768257
42,/model.22/m.0/m/m.0/cv1/conv/Conv,2.503712019883096,110,0.0227610183625736
43,/model.22/m.0/m/m.0/cv2/conv/Conv,2.4861760642379522,110,0.022601600583981384
44,/model.8/m.0/m/m.1/cv2/conv/Conv,2.4705600617453456,110,0.02245963692495769
45,/model.8/m.0/m/m.0/cv2/conv/Conv,2.4518720749765635,110,0.022289746136150576
46,/model.8/m.0/m/m.1/cv1/conv/Conv,2.4204480769112706,110,0.022004073426466098
47,/model.22/m.0/m/m.1/cv2/conv/Conv,2.4148160750046372,110,0.021952873409133065
48,/model.23/cv2.0/cv2.0.2/Conv,2.3329920452088118,110,0.02120901859280738
49,/model.16/m.0/cv1/conv/Conv,2.292544041760266,110,0.02084130947054787
50,/model.6/cv2/conv/Conv,2.2802880397066474,110,0.02072989127006043
51,/model.22/cv1/conv/Conv,2.270528038032353,110,0.0206411639821123
52,/model.4/m.0/cv1/conv/Conv,2.26956803817302,110,0.020632436710663817
